,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam
SXW834,1.54,0.939,0.999,0.0613,0.86,0.0613,1.212539525481585,0.86,0.06550154875643228,-1.62,0.0529,0.916,0.947,0.987,0.0529,1.2765443279648143,0.916,0.0381045263321496,1.65,0.951,1.0,0.0493,0.869,0.0493,1.30715308072277,0.869,0.060980223551333534
RDSGH29,-0.58,0.28,0.898,0.72,0.981,0.28,0.5528419686577808,0.898,0.04672366333269562,-1.62,0.0531,0.916,0.947,0.987,0.0531,1.274905478918531,0.916,0.0381045263321496,-0.42,0.336,0.945,0.664,0.984,0.336,0.4736607226101559,0.945,0.024568191490737076
FCM23,-1.82,0.0343,0.897,0.966,0.987,0.0343,1.4647058799572295,0.897,0.047207556955907906,-1.61,0.0532,0.916,0.947,0.987,0.0532,1.274088367704952,0.916,0.0381045263321496,-0.78,0.219,0.925,0.781,0.984,0.219,0.6595558851598816,0.925,0.03385826726096737
AVIR63,1.38,0.916,0.999,0.0844,0.915,0.0844,1.0736575533743449,0.915,0.038578905933551705,-1.61,0.0533,0.916,0.947,0.987,0.0533,1.2732727909734278,0.916,0.0381045263321496,-0.97,0.167,0.925,0.833,0.984,0.167,0.7772835288524167,0.925,0.03385826726096737
GUWZN3,0.25,0.599,0.987,0.401,0.981,0.401,0.39685562737981767,0.981,0.008330992620051497,-1.6,0.0545,0.916,0.946,0.987,0.0545,1.2636034977233577,0.916,0.0381045263321496,-1.23,0.109,0.925,0.891,0.984,0.109,0.9625735020593764,0.925,0.03385826726096737
KFO5,0.52,0.699,0.988,0.301,0.981,0.301,0.5214335044061567,0.981,0.008330992620051497,-1.6,0.0548,0.916,0.945,0.987,0.0548,1.2612194415156308,0.916,0.0381045263321496,0.1,0.539,0.97,0.461,0.984,0.461,0.33629907461035186,0.97,0.01322826573375516
GLGA2,-0.32,0.374,0.921,0.626,0.981,0.374,0.42712839779951983,0.921,0.03574036980315106,-1.59,0.0558,0.916,0.944,0.987,0.0558,1.2533658010624211,0.916,0.0381045263321496,-0.82,0.205,0.925,0.795,0.984,0.205,0.6882461389442457,0.925,0.03385826726096737
HVKTE192,-1.32,0.0935,0.897,0.907,0.981,0.0935,1.0291883891274822,0.897,0.047207556955907906,-1.58,0.0573,0.916,0.943,0.987,0.0573,1.24184537803261,0.916,0.0381045263321496,-0.57,0.283,0.925,0.717,0.984,0.283,0.5482135644757098,0.925,0.03385826726096737
SMSTX9,-1.02,0.154,0.897,0.846,0.981,0.154,0.8124792791635369,0.897,0.047207556955907906,-1.58,0.0576,0.916,0.942,0.987,0.0576,1.239577516576788,0.916,0.0381045263321496,-1.07,0.142,0.925,0.858,0.984,0.142,0.8477116556169435,0.925,0.03385826726096737
FGYT384,-0.6,0.273,0.898,0.727,0.981,0.273,0.563837352959244,0.898,0.04672366333269562,-1.57,0.0586,0.916,0.941,0.987,0.0586,1.2321023839819094,0.916,0.0381045263321496,1.61,0.947,1.0,0.0533,0.89,0.0533,1.2732727909734278,0.89,0.05060999335508721
LIN4,-0.3,0.381,0.929,0.619,0.981,0.381,0.4190750243243807,0.929,0.03198428600635821,-1.56,0.0588,0.916,0.941,0.987,0.0588,1.2306226739238615,0.916,0.0381045263321496,-0.27,0.395,0.952,0.605,0.984,0.395,0.40340290437353976,0.952,0.021363051615525673
DZR395,0.73,0.767,0.992,0.233,0.981,0.233,0.632644078973981,0.981,0.008330992620051497,-1.56,0.0591,0.916,0.941,0.987,0.0591,1.2284125191187447,0.916,0.0381045263321496,0.87,0.809,0.998,0.191,0.953,0.191,0.7189666327522725,0.953,0.02090709936167361
CSLEY4,-0.01,0.496,0.97,0.504,0.981,0.496,0.30451832350980257,0.97,0.01322826573375516,-1.56,0.0591,0.916,0.941,0.987,0.0591,1.2284125191187447,0.916,0.0381045263321496,-0.84,0.2,0.925,0.8,0.984,0.2,0.6989700043360187,0.925,0.03385826726096737
EWC0,-0.03,0.489,0.968,0.511,0.981,0.489,0.3106911408763798,0.968,0.014124642691606345,-1.56,0.0597,0.916,0.94,0.987,0.0597,1.2240256688706308,0.916,0.0381045263321496,1.17,0.879,1.0,0.121,0.949,0.121,0.9172146296835499,0.949,0.022733787572707352
BKH56,-0.35,0.365,0.92,0.635,0.981,0.365,0.4377071355435253,0.92,0.036212172654444715,-1.55,0.0606,0.916,0.939,0.987,0.0606,1.2175273758337137,0.916,0.0381045263321496,-0.15,0.439,0.959,0.561,0.984,0.439,0.35753547975787864,0.959,0.018181392829336417
XTL95,-1.56,0.0598,0.897,0.94,0.981,0.0598,1.2232988160115892,0.897,0.047207556955907906,-1.55,0.0608,0.916,0.939,0.987,0.0608,1.216096420727265,0.916,0.0381045263321496,-0.73,0.232,0.925,0.768,0.984,0.232,0.6345120151091003,0.925,0.03385826726096737
MJGW936,-0.61,0.272,0.898,0.728,0.981,0.272,0.5654310959658012,0.898,0.04672366333269562,-1.55,0.061,0.916,0.939,0.987,0.061,1.214670164989233,0.916,0.0381045263321496,1.14,0.873,1.0,0.127,0.949,0.127,0.8961962790440431,0.949,0.022733787572707352
FKNC3,-0.15,0.439,0.952,0.561,0.981,0.439,0.35753547975787864,0.952,0.021363051615525673,-1.54,0.0622,0.916,0.938,0.987,0.0622,1.2062096153091812,0.916,0.0381045263321496,-2.42,0.00784,0.925,0.992,0.997,0.00784,2.1056839373155616,0.925,0.03385826726096737
DWGS3,-1.56,0.0596,0.897,0.94,0.981,0.0596,1.2247537402597635,0.897,0.047207556955907906,-1.53,0.0624,0.916,0.938,0.987,0.0624,1.204815410317576,0.916,0.0381045263321496,1.12,0.869,1.0,0.131,0.949,0.131,0.8827287043442357,0.949,0.022733787572707352
FKDL1,0.09,0.536,0.971,0.464,0.981,0.464,0.3334820194451191,0.971,0.012780770091995148,-1.53,0.0628,0.916,0.937,0.987,0.0628,1.202040356262804,0.916,0.0381045263321496,-0.78,0.219,0.925,0.781,0.984,0.219,0.6595558851598816,0.925,0.03385826726096737
UVEX53,0.45,0.674,0.988,0.326,0.981,0.326,0.48678239993206096,0.981,0.008330992620051497,-1.52,0.0637,0.916,0.936,0.987,0.0637,1.1958605676646494,0.916,0.0381045263321496,-0.01,0.496,0.967,0.504,0.984,0.496,0.30451832350980257,0.967,0.014573525916998339
EAQN08,1.26,0.897,0.999,0.103,0.915,0.103,0.9871627752948278,0.915,0.038578905933551705,-1.52,0.0639,0.916,0.936,0.987,0.0639,1.1944991418415998,0.916,0.0381045263321496,0.97,0.834,0.998,0.166,0.953,0.166,0.7798919119599449,0.953,0.02090709936167361
FVFLI1,-1.18,0.119,0.897,0.881,0.981,0.119,0.9244530386074693,0.897,0.047207556955907906,-1.52,0.0642,0.916,0.936,0.987,0.0642,1.1924649719311469,0.916,0.0381045263321496,-1.19,0.117,0.925,0.883,0.984,0.117,0.9318141382538383,0.925,0.03385826726096737
XEUV806,0.68,0.751,0.988,0.249,0.981,0.249,0.6038006529042637,0.981,0.008330992620051497,-1.51,0.0658,0.916,0.934,0.987,0.0658,1.1817741063860445,0.916,0.0381045263321496,1.42,0.922,1.0,0.078,0.929,0.078,1.1079053973095196,0.929,0.03198428600635821
SZPTQ70,-0.85,0.198,0.897,0.802,0.981,0.198,0.7033348097384688,0.897,0.047207556955907906,-1.51,0.066,0.916,0.934,0.987,0.066,1.1804560644581312,0.916,0.0381045263321496,0.26,0.603,0.975,0.397,0.984,0.397,0.40120949323688493,0.975,0.010995384301463193
ONE3,-0.55,0.291,0.898,0.709,0.981,0.291,0.5361070110140927,0.898,0.04672366333269562,-1.5,0.0662,0.916,0.934,0.987,0.0662,1.1791420105603,0.916,0.0381045263321496,-0.32,0.373,0.951,0.627,0.984,0.373,0.4282911681913124,0.951,0.02181948306258609
WIO4,-1.4,0.0811,0.897,0.919,0.981,0.0811,1.090979145788844,0.897,0.047207556955907906,-1.5,0.0662,0.916,0.934,0.987,0.0662,1.1791420105603,0.916,0.0381045263321496,-0.9,0.184,0.925,0.816,0.984,0.184,0.7351821769904635,0.925,0.03385826726096737
KBPQ2,-0.56,0.288,0.898,0.712,0.981,0.288,0.5406075122407692,0.898,0.04672366333269562,-1.5,0.0664,0.916,0.934,0.987,0.0664,1.1778319206319825,0.916,0.0381045263321496,1.42,0.922,1.0,0.0779,0.929,0.0779,1.1084625423274355,0.929,0.03198428600635821
NFPZ56,-1.3,0.0967,0.897,0.903,0.981,0.0967,1.0145735259169983,0.897,0.047207556955907906,-1.49,0.068,0.916,0.932,0.987,0.068,1.1674910872937636,0.916,0.0381045263321496,3.05,0.999,1.0,0.00113,0.35,0.00113,2.9469215565165805,0.35,0.4559319556497244
CHXQ708,-1.09,0.138,0.897,0.862,0.981,0.138,0.8601209135987634,0.897,0.047207556955907906,-1.49,0.0684,0.916,0.932,0.987,0.0684,1.1649438982798836,0.916,0.0381045263321496,-0.45,0.326,0.944,0.674,0.984,0.326,0.48678239993206096,0.944,0.02502800570193105
PCQLX374,1.32,0.907,0.999,0.0933,0.915,0.0933,1.0301183562535001,0.915,0.038578905933551705,-1.49,0.0685,0.916,0.931,0.987,0.0685,1.1643094285075744,0.916,0.0381045263321496,0.27,0.606,0.975,0.394,0.984,0.394,0.40450377817442584,0.975,0.010995384301463193
UNW0,-0.53,0.299,0.9,0.701,0.981,0.299,0.5243288116755703,0.9,0.045757490560675115,-1.48,0.0689,0.916,0.931,0.987,0.0689,1.1617807780923741,0.916,0.0381045263321496,0.31,0.623,0.975,0.377,0.984,0.377,0.42365864979420714,0.975,0.010995384301463193
QFI132,0.43,0.668,0.988,0.332,0.981,0.332,0.4788619162959637,0.981,0.008330992620051497,-1.48,0.0695,0.916,0.93,0.987,0.0695,1.158015195409886,0.916,0.0381045263321496,-1.03,0.151,0.925,0.849,0.984,0.151,0.8210230527068306,0.925,0.03385826726096737
WUX1,0.78,0.782,0.993,0.218,0.981,0.218,0.6615435063953952,0.981,0.008330992620051497,-1.48,0.0697,0.916,0.93,0.987,0.0697,1.1567672219019907,0.916,0.0381045263321496,-0.39,0.347,0.945,0.653,0.984,0.347,0.4596705252091263,0.945,0.024568191490737076
DUG1,-1.65,0.0498,0.897,0.95,0.985,0.0498,1.3027706572402824,0.897,0.047207556955907906,-1.48,0.0698,0.916,0.93,0.987,0.0698,1.1561445773768388,0.916,0.0381045263321496,0.98,0.837,0.998,0.163,0.953,0.163,0.7878123955960422,0.953,0.02090709936167361
MIVUD0,-1.05,0.148,0.897,0.852,0.981,0.148,0.8297382846050426,0.897,0.047207556955907906,-1.47,0.0705,0.916,0.93,0.987,0.0705,1.1518108830086013,0.916,0.0381045263321496,-1.31,0.0953,0.925,0.905,0.984,0.0953,1.0209070993616736,0.925,0.03385826726096737
PTP480,0.62,0.731,0.988,0.269,0.981,0.269,0.5702477199975919,0.981,0.008330992620051497,-1.47,0.0708,0.916,0.929,0.987,0.0708,1.1499667423102309,0.916,0.0381045263321496,0.28,0.612,0.975,0.388,0.984,0.388,0.41116827440579273,0.975,0.010995384301463193
PMZ908,-1.15,0.125,0.897,0.875,0.981,0.125,0.9030899869919435,0.897,0.047207556955907906,-1.46,0.0715,0.916,0.929,0.987,0.0715,1.1456939581989194,0.916,0.0381045263321496,-0.91,0.183,0.925,0.817,0.984,0.183,0.7375489102695706,0.925,0.03385826726096737
UTNAS643,-2.18,0.0147,0.897,0.985,0.99,0.0147,1.832682665251824,0.897,0.047207556955907906,-1.46,0.0717,0.916,0.928,0.987,0.0717,1.1444808443321999,0.916,0.0381045263321496,0.51,0.695,0.984,0.305,0.984,0.305,0.5157001606532142,0.984,0.007004901568658489
CUE65,1.2,0.885,0.999,0.115,0.915,0.115,0.9393021596463883,0.915,0.038578905933551705,-1.45,0.0731,0.916,0.927,0.987,0.0731,1.1360826230421395,0.916,0.0381045263321496,-1.18,0.119,0.925,0.881,0.984,0.119,0.9244530386074693,0.925,0.03385826726096737
BSQTP516,-0.01,0.497,0.97,0.503,0.981,0.497,0.3036436112666679,0.97,0.01322826573375516,-1.45,0.0736,0.916,0.926,0.987,0.0736,1.1331221856625011,0.916,0.0381045263321496,0.19,0.574,0.972,0.426,0.984,0.426,0.37059040089728107,0.972,0.012333735073725434
MRC26,1.54,0.938,0.999,0.0621,0.86,0.0621,1.2069083998234198,0.86,0.06550154875643228,-1.45,0.0739,0.916,0.926,0.987,0.0739,1.1313555616051743,0.916,0.0381045263321496,0.71,0.761,0.998,0.239,0.979,0.239,0.6216020990518624,0.979,0.009217308196862183
FZXVQ1,0.81,0.791,0.994,0.209,0.981,0.209,0.679853713888946,0.981,0.008330992620051497,-1.45,0.0742,0.916,0.926,0.987,0.0742,1.1295960947209729,0.916,0.0381045263321496,0.73,0.767,0.998,0.233,0.979,0.233,0.632644078973981,0.979,0.009217308196862183
BXNDH986,-1.03,0.152,0.897,0.848,0.981,0.152,0.8181564120552275,0.897,0.047207556955907906,-1.45,0.0742,0.916,0.926,0.987,0.0742,1.1295960947209729,0.916,0.0381045263321496,-1.13,0.13,0.925,0.87,0.984,0.13,0.8860566476931632,0.925,0.03385826726096737
TJSCE732,0.57,0.715,0.988,0.285,0.981,0.285,0.5451551399914898,0.981,0.008330992620051497,-1.44,0.0751,0.916,0.925,0.987,0.0751,1.1243600629958317,0.916,0.0381045263321496,-1.59,0.0554,0.925,0.945,0.986,0.0554,1.2564902352715703,0.925,0.03385826726096737
XNHKQ136,-1.98,0.0237,0.897,0.976,0.989,0.0237,1.6252516539898962,0.897,0.047207556955907906,-1.44,0.0751,0.916,0.925,0.987,0.0751,1.1243600629958317,0.916,0.0381045263321496,0.02,0.509,0.97,0.491,0.984,0.491,0.3089185078770315,0.97,0.01322826573375516
URU37,-0.54,0.294,0.898,0.706,0.981,0.294,0.5316526695878427,0.898,0.04672366333269562,-1.43,0.0763,0.916,0.924,0.987,0.0763,1.1174754620451195,0.916,0.0381045263321496,-1.85,0.032,0.925,0.968,0.988,0.032,1.494850021680094,0.925,0.03385826726096737
BYJXN721,0.3,0.618,0.987,0.382,0.981,0.382,0.41793663708829126,0.981,0.008330992620051497,-1.43,0.0765,0.916,0.923,0.987,0.0765,1.1163385648463824,0.916,0.0381045263321496,0.8,0.787,0.998,0.213,0.979,0.213,0.6716203965612623,0.979,0.009217308196862183
MDVE04,0.01,0.506,0.97,0.494,0.981,0.494,0.30627305107635305,0.97,0.01322826573375516,-1.43,0.0767,0.916,0.923,0.987,0.0767,1.115204636051019,0.916,0.0381045263321496,1.29,0.902,1.0,0.0984,0.937,0.0984,1.0070049015686584,0.937,0.02826040911222171
JAKL71,-1.01,0.156,0.897,0.844,0.981,0.156,0.8068754016455384,0.897,0.047207556955907906,-1.42,0.0772,0.916,0.923,0.987,0.0772,1.1123826996642638,0.916,0.0381045263321496,-0.07,0.472,0.962,0.528,0.984,0.472,0.32605800136591223,0.962,0.016824927962187056
MCU12,-1.22,0.111,0.897,0.889,0.981,0.111,0.9546770212133425,0.897,0.047207556955907906,-1.42,0.0775,0.916,0.922,0.987,0.0775,1.1106982974936896,0.916,0.0381045263321496,-1.23,0.109,0.925,0.891,0.984,0.109,0.9625735020593764,0.925,0.03385826726096737
UWUD14,-0.53,0.3,0.9,0.7,0.981,0.3,0.5228787452803376,0.9,0.045757490560675115,-1.42,0.0783,0.916,0.922,0.987,0.0783,1.1062382379420566,0.916,0.0381045263321496,0.37,0.643,0.981,0.357,0.984,0.357,0.4473317838878068,0.981,0.008330992620051497
LTNCU4,1.79,0.964,0.999,0.0364,0.815,0.0364,1.438898616350944,0.815,0.08884239126002341,-1.41,0.0792,0.916,0.921,0.987,0.0792,1.1012748184105066,0.916,0.0381045263321496,-0.55,0.292,0.925,0.708,0.984,0.292,0.5346171485515817,0.925,0.03385826726096737
EMDJ6,0.23,0.592,0.987,0.408,0.981,0.408,0.3893398369101201,0.981,0.008330992620051497,-1.41,0.0796,0.916,0.92,0.987,0.0796,1.099086932262331,0.916,0.0381045263321496,-0.75,0.226,0.925,0.774,0.984,0.226,0.645891560852599,0.925,0.03385826726096737
AFA59,1.35,0.911,0.999,0.0893,0.915,0.0893,1.0491485411114536,0.915,0.038578905933551705,-1.4,0.0803,0.916,0.92,0.987,0.0803,1.095284454721319,0.916,0.0381045263321496,-1.05,0.147,0.925,0.853,0.984,0.147,0.8326826652518239,0.925,0.03385826726096737
IHGY804,-0.85,0.198,0.897,0.802,0.981,0.198,0.7033348097384688,0.897,0.047207556955907906,-1.4,0.0804,0.916,0.92,0.987,0.0804,1.0947439512515487,0.916,0.0381045263321496,-0.34,0.368,0.949,0.632,0.984,0.368,0.43415218132648237,0.949,0.022733787572707352
VQK296,0.74,0.769,0.992,0.231,0.981,0.231,0.6363880201078557,0.981,0.008330992620051497,-1.39,0.0816,0.916,0.918,0.987,0.0816,1.0883098412461387,0.916,0.0381045263321496,-0.42,0.338,0.945,0.662,0.984,0.338,0.47108329972234525,0.945,0.024568191490737076
JEOXY4,-1.31,0.0959,0.897,0.904,0.981,0.0959,1.0181813928293364,0.897,0.047207556955907906,-1.39,0.0818,0.916,0.918,0.987,0.0818,1.087246696328677,0.916,0.0381045263321496,-1.04,0.148,0.925,0.852,0.984,0.148,0.8297382846050426,0.925,0.03385826726096737
CUSRN59,0.36,0.641,0.987,0.359,0.981,0.359,0.44490555142168087,0.981,0.008330992620051497,-1.39,0.082,0.916,0.918,0.987,0.082,1.0861861476162833,0.916,0.0381045263321496,-0.21,0.416,0.958,0.584,0.984,0.416,0.3809066693732573,0.958,0.018634490921455603
HHLPX03,0.86,0.806,0.998,0.194,0.981,0.194,0.712198270069774,0.981,0.008330992620051497,-1.39,0.0821,0.916,0.918,0.987,0.0821,1.0856568428805593,0.916,0.0381045263321496,-0.44,0.33,0.944,0.67,0.984,0.33,0.4814860601221125,0.944,0.02502800570193105
XHEAJ657,1.48,0.931,0.999,0.0691,0.874,0.0691,1.1605219526258017,0.874,0.05848856736559697,-1.38,0.083,0.916,0.917,0.987,0.083,1.080921907623926,0.916,0.0381045263321496,1.91,0.972,1.0,0.0281,0.817,0.0281,1.5512936800949202,0.817,0.08777794346758454
SQUVZ156,0.42,0.664,0.988,0.336,0.981,0.336,0.4736607226101559,0.981,0.008330992620051497,-1.38,0.0831,0.916,0.917,0.987,0.0831,1.080398976215889,0.916,0.0381045263321496,0.38,0.647,0.981,0.353,0.984,0.353,0.4522252946121775,0.981,0.008330992620051497
YZOG409,-0.59,0.276,0.898,0.724,0.981,0.276,0.5590909179347823,0.898,0.04672366333269562,-1.38,0.0834,0.916,0.917,0.987,0.0834,1.0788339493622612,0.916,0.0381045263321496,-1.06,0.145,0.925,0.855,0.984,0.145,0.8386319977650252,0.925,0.03385826726096737
FBLRT31,0.8,0.788,0.993,0.212,0.981,0.212,0.6736641390712486,0.981,0.008330992620051497,-1.38,0.0836,0.916,0.916,0.987,0.0836,1.0777937225609837,0.916,0.0381045263321496,-0.87,0.191,0.925,0.809,0.984,0.191,0.7189666327522725,0.925,0.03385826726096737
NQJGE0,0.31,0.62,0.987,0.38,0.981,0.38,0.42021640338318983,0.981,0.008330992620051497,-1.38,0.0842,0.916,0.916,0.987,0.0842,1.0746879085003505,0.916,0.0381045263321496,-1.87,0.0305,0.925,0.969,0.988,0.0305,1.5157001606532141,0.925,0.03385826726096737
PBUI30,-1.06,0.145,0.897,0.855,0.981,0.145,0.8386319977650252,0.897,0.047207556955907906,-1.37,0.0848,0.916,0.915,0.987,0.0848,1.0716041477432863,0.916,0.0381045263321496,-0.64,0.26,0.925,0.74,0.984,0.26,0.585026652029182,0.925,0.03385826726096737
UPNSR601,-1.09,0.138,0.897,0.862,0.981,0.138,0.8601209135987634,0.897,0.047207556955907906,-1.37,0.085,0.916,0.915,0.987,0.085,1.0705810742857071,0.916,0.0381045263321496,-1.2,0.115,0.925,0.885,0.984,0.115,0.9393021596463883,0.925,0.03385826726096737
VKJBG2,0.7,0.759,0.991,0.241,0.981,0.241,0.6179829574251317,0.981,0.008330992620051497,-1.37,0.0851,0.916,0.915,0.987,0.0851,1.0700704399154122,0.916,0.0381045263321496,1.13,0.872,1.0,0.128,0.949,0.128,0.8927900303521317,0.949,0.022733787572707352
XZQI3,-0.4,0.345,0.914,0.655,0.981,0.345,0.4621809049267259,0.914,0.039053804266168564,-1.37,0.0859,0.916,0.914,0.987,0.0859,1.0660068361687576,0.916,0.0381045263321496,0.09,0.538,0.97,0.462,0.984,0.462,0.33535802444387447,0.97,0.01322826573375516
GHMS31,-1.26,0.103,0.897,0.897,0.981,0.103,0.9871627752948278,0.897,0.047207556955907906,-1.36,0.0862,0.916,0.914,0.987,0.0862,1.0644927341752872,0.916,0.0381045263321496,0.7,0.758,0.998,0.242,0.979,0.242,0.6161846340195687,0.979,0.009217308196862183
VQT5,-1.11,0.133,0.897,0.867,0.981,0.133,0.8761483590329142,0.897,0.047207556955907906,-1.36,0.0866,0.916,0.913,0.987,0.0866,1.0624821079826534,0.916,0.0381045263321496,1.36,0.913,1.0,0.0875,0.931,0.0875,1.0579919469776868,0.931,0.031050319018657353
TFL78,-1.37,0.0852,0.897,0.915,0.981,0.0852,1.0695604052332999,0.897,0.047207556955907906,-1.35,0.088,0.916,0.912,0.987,0.088,1.0555173278498313,0.916,0.0381045263321496,-1.09,0.139,0.925,0.861,0.984,0.139,0.8569851997459049,0.925,0.03385826726096737
OED3,0.29,0.612,0.987,0.388,0.981,0.388,0.41116827440579273,0.981,0.008330992620051497,-1.35,0.0882,0.916,0.912,0.987,0.0882,1.0545314148681804,0.916,0.0381045263321496,0.92,0.821,0.998,0.179,0.953,0.179,0.7471469690201068,0.953,0.02090709936167361
RPO754,0.92,0.821,0.999,0.179,0.978,0.179,0.7471469690201068,0.978,0.009661145212398569,-1.35,0.0884,0.916,0.912,0.987,0.0884,1.0535477349869269,0.916,0.0381045263321496,1.29,0.901,1.0,0.0992,0.937,0.0992,1.0034883278458213,0.937,0.02826040911222171
UIGMC20,0.28,0.612,0.987,0.388,0.981,0.388,0.41116827440579273,0.981,0.008330992620051497,-1.34,0.0901,0.916,0.91,0.987,0.0901,1.045275209020937,0.916,0.0381045263321496,-0.84,0.201,0.925,0.799,0.984,0.201,0.6968039425795111,0.925,0.03385826726096737
XIBEN746,2.27,0.988,0.999,0.0115,0.638,0.0115,1.9393021596463884,0.638,0.19517932127883766,-1.34,0.0904,0.916,0.91,0.987,0.0904,1.0438315695246367,0.916,0.0381045263321496,-0.33,0.37,0.949,0.63,0.984,0.37,0.431798275933005,0.949,0.022733787572707352
FVIFU0,1.49,0.932,0.999,0.0676,0.874,0.0676,1.170053304058364,0.874,0.05848856736559697,-1.33,0.0918,0.916,0.908,0.987,0.0918,1.0371573187987575,0.916,0.0381045263321496,-0.04,0.483,0.965,0.517,0.984,0.483,0.31605286924848786,0.965,0.015472686656207449
NPR96,0.78,0.782,0.993,0.218,0.981,0.218,0.6615435063953952,0.981,0.008330992620051497,-1.33,0.0918,0.916,0.908,0.987,0.0918,1.0371573187987575,0.916,0.0381045263321496,0.11,0.545,0.97,0.455,0.984,0.455,0.34198860334288755,0.97,0.01322826573375516
ARXTA96,-0.19,0.424,0.952,0.576,0.981,0.424,0.37263414340726736,0.952,0.021363051615525673,-1.31,0.0946,0.916,0.905,0.987,0.0946,1.0241088635982072,0.916,0.0381045263321496,-0.22,0.414,0.958,0.586,0.984,0.414,0.3829996588791011,0.958,0.018634490921455603
LFBLJ63,-0.28,0.388,0.929,0.612,0.981,0.388,0.41116827440579273,0.929,0.03198428600635821,-1.31,0.0947,0.916,0.905,0.987,0.0947,1.0236500209967265,0.916,0.0381045263321496,-0.27,0.392,0.952,0.608,0.984,0.392,0.4067139329795427,0.952,0.021363051615525673
PDW152,-0.48,0.317,0.909,0.683,0.981,0.317,0.4989407377822485,0.909,0.041436116778032536,-1.31,0.0948,0.916,0.905,0.987,0.0948,1.0231916626619337,0.916,0.0381045263321496,-0.4,0.346,0.945,0.654,0.984,0.346,0.46092390120722343,0.945,0.024568191490737076
CKU5,0.04,0.516,0.97,0.484,0.981,0.484,0.31515463835558755,0.97,0.01322826573375516,-1.31,0.0951,0.916,0.905,0.987,0.0951,1.021819483062586,0.916,0.0381045263321496,0.81,0.792,0.998,0.208,0.979,0.208,0.6819366650372385,0.979,0.009217308196862183
MPHV40,-1.2,0.115,0.897,0.885,0.981,0.115,0.9393021596463883,0.897,0.047207556955907906,-1.31,0.0952,0.916,0.905,0.987,0.0952,1.0213630516155257,0.916,0.0381045263321496,-0.65,0.258,0.925,0.742,0.984,0.258,0.5883802940367698,0.925,0.03385826726096737
NNB29,0.38,0.648,0.987,0.352,0.981,0.352,0.453457336521869,0.981,0.008330992620051497,-1.31,0.0952,0.916,0.905,0.987,0.0952,1.0213630516155257,0.916,0.0381045263321496,-0.2,0.419,0.958,0.581,0.984,0.419,0.3777859770337047,0.958,0.018634490921455603
FFHQV7,1.19,0.883,0.999,0.117,0.915,0.117,0.9318141382538383,0.915,0.038578905933551705,-1.31,0.0957,0.916,0.904,0.987,0.0957,1.0190880622231564,0.916,0.0381045263321496,-0.55,0.29,0.925,0.71,0.984,0.29,0.5376020021010439,0.925,0.03385826726096737
KITMX95,-1.93,0.0267,0.897,0.973,0.987,0.0267,1.5734887386354248,0.897,0.047207556955907906,-1.3,0.0961,0.916,0.904,0.987,0.0961,1.0172766123314547,0.916,0.0381045263321496,0.96,0.83,0.998,0.17,0.953,0.17,0.769551078621726,0.953,0.02090709936167361
VOQKW42,2.02,0.978,0.999,0.0216,0.679,0.0216,1.665546248849069,0.679,0.1681302257194983,-1.3,0.0964,0.916,0.904,0.987,0.0964,1.0159229660971691,0.916,0.0381045263321496,-0.39,0.347,0.945,0.653,0.984,0.347,0.4596705252091263,0.945,0.024568191490737076
WZMU8,-0.79,0.215,0.897,0.785,0.981,0.215,0.6675615400843947,0.897,0.047207556955907906,-1.3,0.097,0.916,0.903,0.987,0.097,1.0132282657337552,0.916,0.0381045263321496,-0.44,0.329,0.944,0.671,0.984,0.329,0.48280410205002566,0.944,0.02502800570193105
